model_name,N_predict,model_used,initial_evaluation_success_rate,predictive_evaluation_success_rate,brier_score,accuracy,fpr,fnr,tpr,tnr
/model_progression/progressionmodel_2M_1040000,200,XGBoost,0.345,0.57,0.4892801720872012,0.335,0.24,0.425,0.125,0.21
/model_progression/progressionmodel_2M_1040000,200,proportional,0.345,0.57,0.2957250000000008,0.47722000000000003,0.149095,0.37368500000000004,0.196315,0.28090499999999996
/model_progression/progressionmodel_2M_1080000,200,Measurement_Layout_AAIO,0.345,0.605,0.26398405386020146,0.565,0.055,0.38,0.225,0.34
/model_progression/progressionmodel_2M_1080000,200,XGBoost,0.345,0.605,0.48757758377676513,0.325,0.23,0.445,0.135,0.19
/model_progression/progressionmodel_2M_1080000,200,proportional,0.345,0.605,0.3065750000000009,0.46714,0.136635,0.39622499999999994,0.20877500000000002,0.258365
/model_progression/progressionmodel_2M_1120000,200,Measurement_Layout_AAIO,0.345,0.59,0.25121315778939046,0.61,0.04,0.35,0.24,0.37
/model_progression/progressionmodel_2M_1120000,200,XGBoost,0.345,0.59,0.5048399735302155,0.31,0.245,0.445,0.12,0.19
/model_progression/progressionmodel_2M_1120000,200,proportional,0.345,0.59,0.30192500000000083,0.47141999999999995,0.141995,0.386585,0.203415,0.268005
/model_progression/progressionmodel_2M_1160000,200,Measurement_Layout_AAIO,0.345,0.55,0.22759703957132452,0.63,0.05,0.32,0.23,0.4
/model_progression/progressionmodel_2M_1160000,200,XGBoost,0.345,0.55,0.4689180746401326,0.365,0.235,0.4,0.13,0.235
/model_progression/progressionmodel_2M_1160000,200,proportional,0.345,0.55,0.28952500000000075,0.48421,0.1556,0.36019,0.18981,0.2944
/model_progression/progressionmodel_2M_1200000,200,Measurement_Layout_AAIO,0.345,0.62,0.23879214985322716,0.5700000000000001,0.045,0.385,0.235,0.335
/model_progression/progressionmodel_2M_1200000,200,XGBoost,0.345,0.62,0.49599792156139305,0.315,0.22,0.465,0.145,0.17
/model_progression/progressionmodel_2M_1200000,200,proportional,0.345,0.62,0.31122500000000086,0.46242999999999995,0.13149,0.40608000000000005,0.21392000000000003,0.24851
/model_progression/progressionmodel_2M_1240000,200,Measurement_Layout_AAIO,0.345,0.665,0.2589526768185547,0.5549999999999999,0.03,0.415,0.25,0.305
/model_progression/progressionmodel_2M_1240000,200,XGBoost,0.345,0.665,0.49028296408523603,0.35,0.18,0.47,0.185,0.165
/model_progression/progressionmodel_2M_1240000,200,proportional,0.345,0.665,0.3251750000000008,0.44837,0.11602000000000001,0.43560999999999994,0.22939,0.21897999999999998
/model_progression/progressionmodel_2M_1280000,200,Measurement_Layout_AAIO,0.345,0.56,0.2470683798653455,0.61,0.055,0.335,0.225,0.385
/model_progression/progressionmodel_2M_1280000,200,XGBoost,0.345,0.56,0.494751294634425,0.31,0.26,0.43,0.105,0.205
/model_progression/progressionmodel_2M_1280000,200,proportional,0.345,0.56,0.2926250000000008,0.48117,0.15212,0.36671000000000004,0.19329000000000002,0.28787999999999997
/model_progression/progressionmodel_2M_1320000,200,Measurement_Layout_AAIO,0.345,0.69,0.2759932963238687,0.54,0.025,0.435,0.255,0.285
/model_progression/progressionmodel_2M_1320000,200,XGBoost,0.345,0.69,0.5027388194257583,0.325,0.185,0.49,0.18,0.145
/model_progression/progressionmodel_2M_1320000,200,proportional,0.345,0.69,0.33292500000000075,0.44095000000000006,0.10723000000000002,0.45182,0.23818,0.20277
/model_progression/progressionmodel_2M_1360000,200,Measurement_Layout_AAIO,0.345,0.55,0.2564371669843745,0.5900000000000001,0.07,0.34,0.21,0.38
/model_progression/progressionmodel_2M_1360000,200,XGBoost,0.345,0.55,0.4872424378584037,0.315,0.26,0.425,0.105,0.21
/model_progression/progressionmodel_2M_1360000,200,proportional,0.345,0.55,0.28952500000000075,0.48466,0.155375,0.35996500000000003,0.190035,0.294625
/model_progression/progressionmodel_2M_1400000,200,Measurement_Layout_AAIO,0.345,0.55,0.23638987780790363,0.63,0.05,0.32,0.23,0.4
/model_progression/progressionmodel_2M_1400000,200,XGBoost,0.345,0.55,0.4952781688662799,0.32,0.25,0.43,0.115,0.205
/model_progression/progressionmodel_2M_1400000,200,proportional,0.345,0.55,0.28952500000000075,0.4841,0.155655,0.360245,0.189755,0.294345
/model_progression/progressionmodel_2M_1440000,200,Measurement_Layout_AAIO,0.345,0.64,0.25492650168703457,0.5900000000000001,0.025,0.385,0.255,0.335
/model_progression/progressionmodel_2M_1440000,200,XGBoost,0.345,0.64,0.48039576021172253,0.33,0.2,0.47,0.165,0.165
/model_progression/progressionmodel_2M_1440000,200,proportional,0.345,0.64,0.3174250000000009,0.45656,0.12442500000000001,0.41901499999999997,0.22098500000000001,0.235575
/model_progression/progressionmodel_2M_1480000,200,Measurement_Layout_AAIO,0.345,0.645,0.2583542379991032,0.5549999999999999,0.04,0.405,0.24,0.315
/model_progression/progressionmodel_2M_1480000,200,XGBoost,0.345,0.645,0.49422670805328384,0.31,0.21,0.48,0.155,0.155
/model_progression/progressionmodel_2M_1480000,200,proportional,0.345,0.645,0.3189750000000009,0.45378999999999997,0.12331,0.42290000000000005,0.2221,0.23169
/model_progression/progressionmodel_2M_1520000,200,Measurement_Layout_AAIO,0.345,0.69,0.26180686986321783,0.55,0.02,0.43,0.26,0.29
/model_progression/progressionmodel_2M_1520000,200,XGBoost,0.345,0.69,0.4957022777076418,0.32,0.195,0.485,0.17,0.15
/model_progression/progressionmodel_2M_1520000,200,proportional,0.345,0.69,0.33292500000000075,0.44049,0.10746000000000001,0.45205,0.23795,0.20254000000000003
/model_progression/progressionmodel_2M_1560000,200,Measurement_Layout_AAIO,0.345,0.62,0.2500713999123077,0.6,0.03,0.37,0.25,0.35
